message,label,regex_prediction,llm_prediction,regex_correct,llm_correct
idiot AMX,1.0,1,1,True,True
did i misspell that?,0.0,0,0,True,True
vroom vroom :D,0.0,0,0,True,True
gg,0.0,0,0,True,True
fuking bots,1.0,0,1,False,True
do your job BZ Idiot and dont push me,0.0,1,1,False,False
base is a bit exposed guys,0.0,0,0,True,True
just peaking,0.0,0,0,True,True
arty,0.0,0,0,True,True
good comeback abc kicked ass,1.0,1,1,True,True
130pm you the noob,1.0,0,1,False,True
e 75 dlete bot idiot,1.0,1,1,True,True
Im Spotted at F5!,0.0,0,0,True,True
f***ing morons,1.0,0,1,False,True
campers,1.0,0,0,False,False
do nothing there,1.0,0,0,False,False
wrong arty mate lol,0.0,0,0,True,True
grat team,0.0,0,0,True,True
nope,0.0,0,0,True,True
FKN ELC,1.0,0,1,False,True
IDIOTSSSSSSSSSSSSSS,1.0,0,1,False,True
useless Mant,1.0,0,1,False,True
"2 TD on base cen kill 5 whom, push NORTH = NORTH USLESS flank",1.0,0,0,False,False
laaaag,0.0,0,0,True,True
blind that bush,0.0,0,0,True,True
so fuck u,1.0,1,1,True,True
Im Spotted at F3!,0.0,0,0,True,True
"10 kills for ulit, carries",0.0,0,0,True,True
i spot,0.0,0,0,True,True
wtf you doing tiger and,1.0,0,1,False,True
Im Spotted at A0!,0.0,0,0,True,True
уебан недоношенный,1.0,0,1,False,True
gogog,0.0,0,0,True,True
268 4 idiot,1.0,1,1,True,True
Thats why u assholes wil lose,1.0,0,1,False,True
рикошет блядь,1.0,0,1,False,True
super hellcat,0.0,0,0,True,True
STRV STILL SITTING.. &quot; WATCH A VIDEO HE SAID&quot;,0.0,0,1,True,False
"arty imbecil asshole, m53",1.0,0,1,False,True
making right move..,0.0,0,1,True,False
amx spot retard,1.0,0,1,False,True
arty nooob camper,1.0,0,1,False,True
calling you an idiot for a shit play that got me killed is called crying now?,1.0,1,1,True,True
let them come,0.0,0,1,True,False
wg is fck,1.0,0,1,False,True
ebr 105 fck offf,1.0,0,1,False,True
push with me,0.0,0,1,True,False
what a crock of whit,1.0,0,1,False,True
best,0.0,0,1,True,False
gg,0.0,0,1,True,False
