message,label,flagged
FUCK,2.0,True
FIND THIS BITCH,1.0,True
ur dumb for not running,1.0,True
shit,2.0,True
shit,2.0,True
U FKIING IDIOT,1.0,True
shit spg loves me,2.0,True
sorry arty fuck me hard,0.0,True
learn english bloddy hell,1.0,True
char mle idiot press x,0.0,True
idiot campersw,0.0,True
next idiot team,1.0,True
gone to shit,1.0,True
at8 fuck you,1.0,True
idiot,0.0,True
idiot on hill,1.0,True
idiot 4005,1.0,True
idiot,1.0,True
debil PzIII E idiot lame players,1.0,True
you idiot meds,0.0,True
lol idiot team again,1.0,True
TEAM IDIOT,1.0,True
FUCK IDIOTS,1.0,True
damn,2.0,True
idiot bots,1.0,True
stupid coward cavallier,1.0,True
spot idiot,1.0,True
fuck spotter,1.0,True
ah as allways...ay fuck team hits nothing,1.0,True
fuck this... the Suicide is In and you Lot Lose...,1.0,True
i have a feeling you just needed a reason to bitch and complain you old fuck,0.0,True
you old fuck,3.0,True
PL lsoers only bonus in this fuck game,2.0,True
stupid heavys,0.0,True
FUCK YOUR ASS,1.0,True
GRILLE IM REPORTING YOU BITCH,1.0,True
total idiot,1.0,True
1250 hp idiot arty,1.0,True
yes idiot arty :),1.0,True
all report stupid T34-1,1.0,True
damn,0.0,True
bitch,1.0,True
lol idiot,1.0,True
fuck rng last shot dont pen,1.0,True
why the fuck,0.0,True
block ass,1.0,True
go idiot,1.0,True
what a coward shit,1.0,True
shit wg all shots missed,1.0,True
that Leo was utterly shit,1.0,True
idiot cobra,3.0,True
lord idiot,1.0,True
report 279 IDIOT,1.0,True
leo go go not camp idiot,1.0,True
oh fuck lol,2.0,True
damn he chose a good spot,0.0,True
cover may ass,0.0,True
idiot team,1.0,True
FUCK MY rng,2.0,True
CANT HIT SHIT,0.0,True
you hush nigerian fuck,3.0,True
stupid e100,0.0,True
Stupid Bouresques - both of them,1.0,True
worst map for this shit tank,1.0,True
2 KV-2 on hill with crap view range and not spotters,0.0,True
but the village idiot doesn't realize that,0.0,True
"\yeah, the T21 and Hllcat did shit",0.0,True
Being alive doesn't mean shit,1.0,True
dog ass light,2.0,True
idiot,1.0,True
fuck you,1.0,True
fuck,2.0,True
fuck,2.0,True
so time to camp like a bitch,1.0,True
is klar idiot,1.0,True
sam si idiot,1.0,True
idiot gold noob,1.0,True
fuck it,2.0,True
cacsrr fuck,1.0,True
go die idiot mediums,4.0,True
fuck this map,2.0,True
damn,1.0,True
yes dicker idiot,1.0,True
fuck,2.0,True
wow u're lucky the jpz is an idiot,1.0,True
WYD IDIOT,1.0,True
56 idiot play,1.0,True
56 idiot,1.0,True
wtf man stop being a dick and get here and see gor yourself that we cant move idiot,1.0,True
idiot,0.0,True
Why the fuck they keep this fucking map???,2.0,True
dont die like idiot,1.0,True
dj rock fuck yu homo gay,3.0,True
leecher idiot,1.0,True
idiot,1.0,True
shit team,1.0,True
you dumb fucking morons,1.0,True
dog shit morons,1.0,True
430 idiot...,1.0,True
T??ger idiot spot,1.0,True
fuck offf rng fot fuckimh noobs,1.0,True
shit campers,0.0,True
lkv biggest idiot,1.0,True
wespe idiot where do you go???,1.0,True
idiot,0.0,True
J1982 You has Damage me. You Idiot.,1.0,True
K-91 go idiot,1.0,True
move idiot LT,0.0,True
fuck you idiot,1.0,True
idiot,1.0,True
damn idiots noone?,0.0,True
wz big idiot,0.0,True
push the damn hill omg,0.0,True
Retarded fuck,1.0,True
fucking idiot not help,1.0,True
stupid,0.0,True
FUCK THE PROGETTO,1.0,True
shit head,1.0,True
idiot,1.0,True
stupid,1.0,True
u are dumb,1.0,True
fuck team,1.0,True
fuck team,1.0,True
fuck team,1.0,True
DUMB,2.0,True
eat shit faggot,3.0,True
camper shit,1.0,True
nah if he *** legos he wouldnt be this stupid,0.0,True
dont show ass omg,2.0,True
kv 1 s idiot,1.0,True
stupid team,1.0,True
su dumb u are,1.0,True
thx idiot!!,1.0,True
idiot ebr,1.0,True
T-34-85M go you ******* idiot,1.0,True
die stupid,4.0,True
idiot e100,1.0,True
idiot,1.0,True
idiot,1.0,True
progetto go to fuck IDIOT,1.0,True
damn,0.0,True
just fuck me,2.0,True
idiot,1.0,True
se fhit idiot,1.0,True
fuck this game :),2.0,True
our light is idiot,2.0,True
get your ass back and help the wz,1.0,True
chi ri is an idiot,0.0,True
nice idiot,1.0,True
setter your an idiot,1.0,True
stupid dorks,1.0,True
setter what a pice of shit you are,1.0,True
Mooove your ass,0.0,True
damn noob,0.0,True
e 75 dlete bot idiot,1.0,True
nvm BZ is going to fuck them,0.0,True
fuck that guy6,1.0,True
due to stupid arty,2.0,True
*** idiot light,1.0,True
stupid E100 hide behind me,1.0,True
usless scouts let hell cat un sighted in fiel..,1.0,True
fucking hell,2.0,True
thansk for help 2 stupid idiot in liberte,1.0,True
idiot t57,1.0,True
fuck team,1.0,True
you stupid,1.0,True
you are stupid for pushing alone,1.0,True
jag move ur ass,1.0,True
wtf idiot team,1.0,True
fuck arty,2.0,True
fuck team,1.0,True
idiot,0.0,True
idiot leo,1.0,True
ebr idiot,1.0,True
140 idiot report,1.0,True
what the hell,0.0,True
liki idiot play tier 1,1.0,True
USELESS FUCK TEAM !!!,1.0,True
fuck ],2.0,True
what an idiot,1.0,True
damn,0.0,True
fuck your mother,,True
fcking stupid red mtherfckers,1.0,True
idiot pilot,1.0,True
holy shit somua,1.0,True
fuck it as long as we win dont matter how lol,2.0,True
holy shit,0.0,True
u fucking idiot,1.0,True
907 idiot,1.0,True
tomi go cap idiot,0.0,True
i caried my ass ass well,0.0,True
hi shit map ....,0.0,True
not this fucking stupid map,2.0,True
"lol, nugs is less than 2k battles and talking shit",1.0,True
FUCK,2.0,True
"idiot 4190, you cant spot from there",1.0,True
283 you idiot,1.0,True
kill him idiot!,1.0,True
what the hell ar eyou all doing??,0.0,True
holy crap its almost like playing the wrong side of the map was stupid,2.0,True
What an Idiot,1.0,True
shit boys,1.0,True
VK _ idiot,1.0,True
useless idiot,1.0,True
herd of stupid Pindos!,1.0,True
idiot,1.0,True
GG IDIOT TEAM,1.0,True
he is a idiot,1.0,True
trash ass T-34-01 get IN THE FIGHT,1.0,True
what a idiot,1.0,True
shit,2.0,True
#idiot lights...,1.0,True
kill that stupid vk,2.0,True
oh shit,0.0,True
damn,0.0,True
damn chill,0.0,True
OI are u stupid?,1.0,True
idiot cent,0.0,True
FUCK??NG B??THCH,1.0,True
fk idiot leo,1.0,True
that's bull shit.,1.0,True
cromvel idiot,0.0,True
"I think you are idiot, l??we",1.0,True
they call me an idiot,0.0,True
hi idiot,0.0,True
idiot on ht,1.0,True
IDIOT,1.0,True
another IDIOT,1.0,True
STUPID TWAT,1.0,True
well shit,2.0,True
damn it lol,2.0,True
go spot idiot,1.0,True
"They where in the city untill they had to go back to defend.. That's actually not camping you idiot, but smart..",0.0,True
shit team,1.0,True
idiot destroer,1.0,True
idiot patton,1.0,True
"idiot progetto, your block killed me",0.0,True
cant do shit with elc gun,2.0,True
fuck you noob OBJ 277,1.0,True
shit barn reload,2.0,True
6tp move idiot,1.0,True
idiot 121??????????,1.0,True
shit,2.0,True
bc idiot go spot,1.0,True
